Chemical Name
"Butyl 2-[[3-[[(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)amino]carbonyl]-2-hydroxy-1-naphthyl]azo]benzoate"
Acid Black 234
Tracid Brilliant Red B
"tetrasodium 7,7'-[[6-(morpholin-4-yl)-1,3,5-triazine-2,4-diyl]diimino]bis[4-hydroxy-3-[(4-methoxy-2-sulphonatophenyl)azo]naphthalene-2-sulphonate]"
"disodium 5-[[4'-[(1-amino-4-sulphonato-2-naphthyl)azo][1,1'-biphenyl]-4-yl]azo]salicylate"
disodium 7-[(3-aminobenzoyl)amino]-4-hydroxy-3-[[4-[(4-sulphonatophenyl)azo]phenyl]azo]naphthalene-2-sulphonate
Direct Blue 201
Permanent Yellow 2GS
Acid Blue 90
Rhodamine 6G
ACID RED 13
Methylene Blue
Acetylene black
DIRECT BROWN 210
7-ISOPROPYLISATIN
MHI-148
DIRECT BROWN 210
DIRECT YELLOW 27
Tartrazine
"7-amino-4-hydroxy-3-[[4-[(4-sulphophenyl)azo]phenyl]azo]naphthalene-2-sulphonic acid, compound with 2,2',2''-nitrilotriethanol (1:2)"
Disperse Red   S-2GFL
"disodium 5-[[4'-[(2-amino-8-hydroxy-6-sulphonato-1-naphthyl)azo][1,1'-biphenyl]-4-yl]azo]salicylate"
Direct Red 239
4-Iodo-2-nitroaniline
disodium 7-[[3-[(4-aminobenzoyl)amino]benzoyl]amino]-4-hydroxy-3-[[4-[(4-sulphonatophenyl)azo]phenyl]azo]naphthalene-2-sulphonate
"trisodium 3-[[4-[[6-(anilino)-1-hydroxy-3-sulphonato-2-naphthyl]azo]-5-methoxy-o-tolyl]azo]naphthalene-1,5-disulphonate"
Direct Green  85
Direct Blending Brilliant Yellow D-GL
Direct Red  16
Neutral red indicator
DIRECT SCARLET 4BS
Molybdate chrome red
DIANIL BROWN 3GN
"disodium 3-[[4-[[4-[(2,4-diamino-5-nitrophenyl)azo]-m-tolyl]azo]-o-tolyl]azo]naphthalene-1,5-disulphonate"
DIRECT BLUE 200
Ketjen Black carbon
Direct Blending Yellow D-3RNL
"7,7'-(carbonyldiimino)bis[4-hydroxy-3-[(6-sulpho-2-naphthyl)azo]naphthalene-2-sulphonic] acid, compound with 2,2',2''-nitrilotriethanol (1:4)"
disodium 7-[(4-aminobenzoyl)amino]-4-hydroxy-3-[[3-methyl-4-[(3-sulphonatophenyl)azo]phenyl]azo]naphthalene-2-sulphonate
"disodium 3-[[4'-[[6-amino-1-hydroxy-3-sulphonato-2-naphthyl]azo]-3,3'-dimethoxy[1,1'-biphenyl]-4-yl]azo]-4-hydroxynaphthalene-1-sulphonate"
disodium 5-[[4-[[6-[(4-aminobenzoyl)amino]-1-hydroxy-3-sulphonato-2-naphthyl]azo]benzoyl]amino]salicylate
Acid Brown 165
ACID RED 9
Pigment Yellow 13
ACID GREEN 27 (C.I. 61580)
AZOFUCHSIN
Acid Black 2
Direct fasting
Acid Orange 3
Acid Red 361
Acid violet  90
Acid Yellow 117
Acid Brown 75
Solvent Red 179
"tetrasodium 4,4'-[carbonylbis(imino-4,1-phenyleneazo)]bis[3-amino-5-hydroxynaphthalene-2,7-disulphonate]"
Acid Yellow 220
"2-[4-[(hexahydro-2,4,6-trioxo-5-pyrimidyl)azo]phenyl]-6-methylbenzothiazole-7-sulphonic acid, compound with 2,2',2''-nitrilotris[ethanol] (1:1)"
Pigment Green 36
Direct Red 224
Disperse Blue 14
DISPERSE BLUE 1
ALIZARIN ASTROL
CRYSTAL VIOLET
Acid Brown 349
Pigment Red 5
4-Vinyl-1-cyclohexene
ACID BLUE 62
Solvent Violet 13
"2-AMINO-4,4'-DICHLORODIPHENYL ETHER"
AMMONIUM HYDROGEN TARTRATE
C.I. 14720
DISPERSE RED 60
Zirconium oxide sulfate
Acid Yellow 42
Solvent Blue 5
Pigment Yellow 139
Disperse Violet  63
Acid Orange 67
Disperse Red  92
Acid Yellow 116
Basic Yellow  29
BASIC BLUE 3
Disperse Red 9
DISPERSE YELLOW 82
Fast Blue BB
Talc
5-Chloro-2-methoxyaniline
Pigment Blue 1
Pigment Red 48:4
Acid Red 131
Acid Yellow 4R
Basic Blue 7
DIRECT BLUE 15
Sulforhodamine B
COBALT BLUE
KAOLIN
Solvent Red 3
EOSIN Y
Vat Red 32
Solvent Blue 45
Pigment Red 31
Solvent Violet 37
Solvent Blue 70
Direct Brown  95
Acid Yellow 219
Direct Black  80
Acid Black 172
ACID RED 106
FUCHSIN BASIC
3-Amino-4-methoxybenzanilide
ACID RED 1
CI 42500
ZINC MOLYBDATE
Naphthol AS
DISPERSE YELLOW 9
Direct Black GB
Tracid Red Bs
Acid Blue 264
Acid Orange 156
Solvent Yellow 19
Acid Black 168
AMIDO GREEN BLACK B
Disperse Orange 44
Solvent Blue 4
DISPERSE BLUE 102
ACID RED 97 (C.I. 22890)
Basic Green 5
Acid Yellow  49
Direct Orange  39
Basic Yellow 51
Acid Black ATT
Sulforhodamine G
Naphthol AS-OL
Aniline Blue
ACID GREEN 41
DISPERSE VIOLET B
Solvent Blue 67
Basic Blue 26
ACID BLUE 1
Pigment Red 175
Tracid Brilliant Red 10b
Solvent Green 1
Solvent Brown 43
Disperse Red 179
Solvent Red 149
DISPERSE ORANGE 1
Solvent Green 3
Acid Red 18
Direct Yellow 12
3-Amino-4-methoxybenzamide
Basic Violet 11
ACID RED 60
Solvent Orange 54
Tracid Rubine 5bl
Solvent Violet  31
Solvent Green  28
Disperse Yellow 211
Acid Orange 24
Disperse Blue 77
"1-(2',4',6'-Trichlorophenyl)-3-(2'-chloro-5'-nitroanilino)-5-pyrazolone"
Disperse Orange 61
DIRECT SCARLET B
"4'-Chloro-2',5'-dimethoxyacetoacetanilide"
Basic Brown 1
Disperse Violet 28
"2,4-DIAMINOAZOBENZENE"
COUMARIN 7
ACID VIOLET 7
ACID YELLOW 17
ASTRAZON ORANGE R
INDANTHRENE BLACK BBN
ACID BLUE 15
ASTRAZON PINK FG
ACID RED 114
Pigment Green 18
Vat Brown G
ACID ORANGE 51
Vulcanizator
Pigment Permanent Red F3RK
Acid Red 3GX
4-[4-(PHENYLAZO)PHENYLAZO]-O-CRESOL
ACID YELLOW 40
DISPERSE BLUE 7
ACID YELLOW 25 (C.I. 18835)
ACID RED 13
Acid Blue 230
Disperse Red BFL
Vat Yellow 4
Sulphur yellow 2
Acid Blue 350
Vat Green 2
Disperse Red 5
Sulphur Red  14
p-[[p-(phenylazo)phenyl]azo]phenol
12 PIGMENT YELLOW 12
Acid Red 142
Acid Scarlet RS
Solvent Dyestuff
2-AMINO-4-CHLOROTOLUENE HYDROCHLORIDE
GERANINE G
ALPHAZURINE A
Vat Blue 4B
REACTIVE BLUE 4
Disperse Blue 81
FLAVANTHRONE
DISPERSE BLUE 35
IMMEDIAL BRILLIANT GREEN GB
DISPERSE VIOLET 26
Solvent Red 49
DIAMINE GREEN B
"2-[2,4-Bis(tert-pentyl)phenoxy]-N-(3,5-dichloro-2-hydroxy-p-tolyl)butyramide"
Sulphur Yellow   9
Sulphur Red 6
Acid Brown 283
Disperse Red 91
Disperse Yellow 163
Disperse Red 54
disodium 2-[4-[[1-[[(2-methoxy-5-methyl-4-sulphonatophenyl)amino]carbonyl]-2-oxopropyl]azo]phenyl]-6-methylbenzothiazole-7-sulphonate
Basic Red 51
Pearlescent pigment
Disperse Red 200
Neutral Grey 2BL
SulphurDyes
Disperse Yellow HG
Vat Grass Green GN
Direct Dyes
Disperse Black GI
ASTRAZON RED 6B
CHLORANTINE FAST RED 5B
ALIZARIN RUBINOL R
CIBACRON BRILLIANT YELLOW 3G-P
Vat Red 41
ACID BLUE 29
Disperse Blue 27
Vat Yellow 46
Acid Green 28
Direct Orange  46
Solvent Yellow 79
Acid Blue 138
Acid Red 374
Solvent Blue 6
"disodium 4-amino-5-hydroxy-3-[[4'-[(4-hydroxyphenyl)azo][1,1'-biphenyl]-4-yl]azo]-6-(phenylazo)naphthalene-2,7-disulphonate"
Sulfur Yellow Brown 6G
Acid Yellow MR
DIRECT RED 80
ACID YELLOW 11
Crystal Violet Nonahydrate
SUPRACET BRILLIANT RED BD
Kaolinite
DIRECT BLACK
3-Hydroxy-4-[(2-methyl-5-nitrophenyl)azo]-N-(2-methylphenyl)-2-naphthalenecarboxamide
Direct Blue 151
Acid Red 118
Basic Blue 162
Acid Yellow  72
Acid Brown   4
Acid Blue 260
Acid Brown 354
"2-[N-(2-Cyanoethyl)-4-[(2,6-dichloro-4-nitrophenyl)azo]anilino]ethyl acetate"
"2-[[4-(dimethylamino)phenyl]azo]-1,3-dimethyl-1H-imidazolium chloride"
sodium 4-hydroxy-3-[(2-methoxy-5-nitrophenyl)azo]-6-(phenylamino)naphthalene-2-sulphonate
Vat Golden Yellow RK
Acid Red 215
DISPERSE BLACK 9
Sulphur Brown   4
MORDANT BROWN 1
Basic Orange 2
CRYSTAL PONCEAU 6R
3-Hydroxy-N-naphthalen-1-ylnaphthalene-2-carboxamide
DISPERSE BLUE 124
Naphthol AS-E
DISPERSE VIOLET 17
SOLVENT YELLOW 16
BASIC YELLOW 11
Acid Red 73
PIGMENT VIOLET 3
Neutral balsam
Sulphur Red GGF
Basic Dyestuff
Vat Dark Blue VB
ERIO GREEN B
DIRECT YELLOW 29
DISPERSE BLACK 9
SIRIUS YELLOW GC
BISMARCK BROWN B
Acid Blue 182
Disperse Red 72
Solvent Blue  97
Acid violet  68
Acid Red 122
Sulfur Red Brown B3R
Vat Black DB
Vat Brown GG
C.I.Acid Red 337
Pigment Organic Lemon Yellow
Basic Black
4-Diazodiphenylamine sulfate
Disperse Orange 5
OPAL BLUE SS
ASTRAZON BRILLIANT RED 4G
ORALITH BRILLIANT PINK R
CHLORAZOL BLUE RW
Vat Blue 4
REACTIVE BLUE 19
ACID DYES
Acid Orange  95
Acid Black  60
Neutral Red 2gl
Direct Brown 44
Acid Brown  98
Direct Yellow 120
Direct Red Brown RN
Disperse Orange 3GL
Pigment Green 8
Solvent Orange 107
Disperse Yellow brown Se-4br Wet Cake
Solvent Black  29
Acid Orange  56
Acid Red 154
Acid Yellow 199
DISPERSE BROWN
LEATHER DYESTUFF
249 ACID RED 249
Acid Orange  89
Acid Yellow 128
Sulphur Brilliant Green GB
Acid Turquoise Blue
ACID BLUE 92
SOLVENT ORANGE 63
Acid Violet 43
3-Hydroxy-N-(3-nitrophenyl)-2-naphthalenecarboxamide
Acid Violet 49
Vat Yellow 10
Acid black 29
Acid Yellow  61
Acid Yellow  79
Sulphur Blue 7
Basic Yellow 24
Acid Red 186
Vat Black  29
Solvent Red 172
Solvent Red 32
Solvent Red 146
"Benzenesulfonic acid, 2-methyl-5-nitro-, alk. cond. products, reaction products with formaldehyde"
Vat Grey BG
Vat Blue BC
Fast Pink lake
Acid Brown 348
Disperse Grey BL
Disperse Blue 3GR
C.I.Basic Blue 26
C.I.Direct Brown 2
DISPERSE BLUE 359
ACID BLACK NT
3-Hydroxy-N-2-naphthyl-2-naphthamide
Toluidine bule
Disperse Yellow 79
Disperse Red 1
SOLVENT RED 109
Benzidine Yellow GR
Disperse Grey N
CROCEIN SCARLET 7B
Acid Yellow 220
"2-Naphthalenesulfonic acid, 5(or 8)-amino-8(or 5)-[(4-hydroxyphenyl)amino]-, reaction products with sodium sulfide (Na2(Sx))"
Sulphur Brown 10
Acid Brown 440
Direct Red 75 tetrasodium salt
Fast Red ITR
DISPERSE RED 4
2-CHLOROANILINE HYDROCHLORIDE
VITAMIN FOLIC ACID ASSAY MEDIUM
ACID BLUE 185
3-CHLOROANILINE HYDROCHLORIDE
"N-(5-((4-(2,4-Bis(1,1-dimethylpropyl)phenoxy)-1-oxobutyl)amino)-2-chlorophenyl)-4,4-dimethyl-3-oxo-2-(4-((4-(phenylmethoxy)phenyl)sulphonyl)phenoxy)valeramide"
Direct Blue 86
SOLWAY BLUE RN
"N-(2-Hydroxynaphthoyl)-2,4-dimethoxy-5-chloroanilide"
Acid Red  57
Acid Brown 282
Disperse Brown 1
Acid Red 336
Solvent Violet 14
Disperse Orange 73
"tetrasodium 3,3'-[(1,6-dihydro-6-oxo-1,3,5-triazine-2,4-diyl)bis[imino(5-methoxy-2-methyl-4,1-phenylene)azo]]bis(naphthalene-1,5-disulphonate)"
DISPERSE BLACK.
2 BASIC ORANGE 2
Direct Yellow 142
Acid Brown 161
Acid Green 73
Acid Blue 168
Acid Brown 163
C.I. Disperse Red 50
ACID BLACK 48
Naphthol AS-D
Solvent Green 5
"LIGNIN, ALKALI"
Basic Yellow  87
Acid Yellow 110
Direct Blue 80
Sulphur Green  14
Neutral Brown Rl
Vat Red 10
Solvent Red 169
Solvent Yellow 157
Pigment Red 144
Solvent Red 168
disodium 6-amino-4-hydroxy-5-[(4-nitro-2-sulphonatophenyl)azo]naphthalene-2-sulphonate
Vat Grey M
Direct Yellow 107
Direct Blue 297
Solvent Orange  99
Disperse Orange 31
Acid Orange 154
Acid Yellow 127
Disperse Orange 44
"p,p',p''-tris(dimethylamino)tritylium m-[(p-anilinophenyl)azo]benzenesulphonate"
9 BROWN 9
Acid Brown  58
Acid Brown 215
Direct Brown 161
Sulphur Grass Green 715
Acid Brilliant Blue RL
Acid dyestuff levelling agent
Direct Blue 71
Pigment Red 179
ACID BLACK 52
ACID BLACK 52
SOLVENT ORANGE 3
Disperse Blue 72
Pigment Yellow 5
Basic Red 54
Acid Red 213
Basic Yellow  49
"2-[7-(diethylamino)-2-oxo-2H-1-benzopyran-3-yl]-1,3-dimethyl-1H-benzimidazolium chloride"
214 ACID BROWN 214
Neutral Dark Yellow GL
ACID RED 8
Acid Orange 3RL
Sulphur Dark Blue 3R
C.I.Direct Black 168
Levelling and dispersing agent
C.I. Solvent Yellow 25
Solvent Red 25
ACID BLUE 25
FLUORESCENT YELLOW 3G
Disperse Blue 54
Vat Blue  42
Acid Blue BGA
Vat Scarlet GG
Acid Yellow 2GL
Acid Mordant Orange G
Solvent Brown 5
ACID BLUE 40
ACID BLUE 40
"N-(4-HYDROXYPHENYL)-2-NAPHTHYLAMINE, 97"
Pigment Yellow 16
Acid Red 137
Solvent Violet 38
Acid Green  68
Acid Blue 277
"disodium 4,4'-[methylenebis(4,1-phenyleneimino)]bis[1-amino-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate]"
Leather Black
Fast Yellow RX
ACID BLACK 24
Solvent Red 111
C.I.Acid Brown 75
BASIC RED 15
ACID YELLOW 14 (C.I. 18960)
Basic Blue  53
Sulphur Black   2
Solvent Yellow  47
Solvent Orange  56
Acid Orange 171
Acid Red 226
Basic Brown   1
Vat Brilliant Violet 2R
DISPERSE GREEN
Disperse Blue FG
DIRECT BLACK 38
C.I. SOLVENT BLACK 28)
Acid Blue 9
DISPERSE BLUE 281
Solvent Blue 35
DISPERSE RED 17
Basic Red  49
Acid Black  26
Solvent yellow 12
Pigment Red 9
"disodium 3-[[4-[[4-amino-6(or 7)-sulphonatonaphthyl]azo]phenyl]azo]-6-[(2,4-diaminophenyl)azo]-4-hydroxynaphthalene-2-sulphonate"
"disodium 3-[[5-chloro-2-(phenylmethoxy)phenyl]azo]-4-hydroxy-5-[[(p-tolyl)sulphonyl]amino]naphthalene-2,7-disulphonate"
"Polysulfurized 4-[(2,4-dinitrophenyl)amino]phenol"
B2R DIRECT BLUE B2R
disperse Navy Blue 6G
Acid Yellow 118
Acid Brown  50
SOLVENT RED 195
Sulfur Grass Green
Sulfur Black 2BR
Sulphur Yellow Brown
Direct Dark Green NB
C.I.Acid Yellow 151
Praseodymium-Zircon Yellow
Disperse Blue 359
5-CHLORO-2-METHOXYANILINE HYDROCHLORIDE
BISMARCK BROWN R
Direct Orange S
Vat Black  38
Vat Blue  43
"2-(3-tert-Butyl-4-hydroxyphenoxy)-N-(4-chloro-3-((4,5-dihydro-5-oxo-1-(2,4,6-trichlorophenyl)-1H-pyrazol-3-yl)amino)phenyl)myristamide"
Solvent Yellow 179
ACID BLUE 82
Disperse Brown 3R
C.I. Disperse Blue A press cake
Disperse Red 146
Disperse Yellow  56
SOLVENT RED 122:1
Direct Violet R
Direct Dark Brown NM
DisperseYellow39
C.I.Acid Brown 37
Disperse Red BLS
Pigment Fast Light Red Lake
ACID BLUE 41
Vat Green 1
STILBENE YELLOW
ACID BLUE 158
FAST RED SALT ITR
Pigment Red 195
Solvent Blue 102
Solvent Red 30
"disodium 4-[[2,4-dihydroxy-3-[(4-sulphonatophenyl)azo]phenyl]azo]naphthalene-1-sulphonate"
sodium 5-[(2-hydroxynaphthyl)azo]naphthalenesulphonate
"2,5-Cyclohexadien-1-one, 4-[[4-(phenylamino)phenyl]imino]-, reaction products with sodium sulfide (Na2(Sx))"
sodium 3-[[4-(benzoylethylamino)-2-methylphenyl]azo]-4-hydroxynaphthalene-1-sulphonate
Spirit Light Fast Yellow GR
Acid Violet 109
ACID BROWN 422
Disperse Red FBL
Catonic Orange G
Disperse Orange 288
Direct Violet B
Pigment Organic Medium Yellow
3-Hydroxy-4'-methoxy-2-naphthanilide
Direct Red 23
PROCION BLUE H-5R
Vat Orange 7
Basic Blue  62
Solvent Blue 74
Sulphur Black 6
"2,2'-[(3,3'-dimethyl[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[4-nonylphenol]"
"2-(3-tert-Butyl-4-hydroxyphenoxy)-N-(4-chloro-3-((4-((3,4-dimethoxyphenyl)azo)-4,5-dihydro-5-oxo-1-(2,4,6-trichlorophenyl)-1H-pyrazol-3-yl)amino)phenyl)myristamide"
3-[(2-hydroxyethyl)[4-[(4-nitrophenyl)azo]phenyl]amino]propiononitrile
"hydrogen bis[3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxybenzene-1-sulphonamidato(2-)]chromate(1-)"
4 VAT BLUE 4
Acid Blue 127:1
Acid Red 260
Catonic Black O
Disperse Violet S press cake
SIRIUS SUPRA RED VIOLET B
Vat Brown 5
Solvent Brown 53
methyl 1-methyl-4-[(methylphenylhydrazono)methyl]pyridinium sulphate
Acid Brown 191
Disperse Orange  47
Disperse Red 221
Solvent Yellow 15
Acid Brown 365
Pigment Yellow   6
Neutral Black Brl
Pigment Red 32
Solvent Blue 8
Vat Blue 6
Acid Orange  86
Pigment Fast Jade Green Lake
Solvent Red  33
Acid Orange 127
Direct Red  83:1
SOLVENT BLUE 48
Sulfur Brilliant Green
C.I.Vat Red 15
Sulphur Blue CV
Disperse Red 343
C.I.Direct Green 1
Pigment Violet 19
Black X-FBL
Week Acid Dyes
Direct Bordeaux BE
Disperse Blue 3G
C.I.Acid Yellow 23
Disperse Rubine B
Solvent Violet 48
Acid Blue D
C.I. Solvent Yellow 89
ACID YELLOW 99
Litmuspaperneutral
NAPHTHOL AS-LT
Fast red KL base
"2,4,5,8-TETRAMETHYLQUINOLINE"
FAST ORANGE GC SALT
Solvent Blue 59
Acid Violet 48
REACTIVE RED 120
Solvent Blue 36
2-METHYL-4-NITROBENZENEDIAZONIUM TETRAFLUOROBORATE
SOLVENT YELLOW 93
Disperse Blue 93
Solvent Red 151
Basic Blue  54
sodium 4-hydroxy-5-[(2-methoxy-4-nitrophenyl)azo]-6-(phenylamino)naphthalene-2-sulphonate
sodium 6-amino-4-hydroxy-5-[[2-(trifluoromethyl)phenyl]azo]naphthalene-2-sulphonate
C.I.Disperse Yellow 71
Acid Yellow RXL
"1-(2,4,6-Trichlorophenyl)-3-[3-(2,4-di-tert-pentylphenoxy)acetamidobenzamido]-4-(4-methoxyphenyl)azo-2-pyrazolin-5-one"
Sulfur Green (Mixed)
Vat Grass Yellow GB
Disperse Brown V press cake
Neutral Green GK
Solubilised Sulphur Black
Direct Scarlet 4BE
Basic Scarlet G
Plastic brown
"Bentonite,calcium base"
Acid Brown SS
C.I.Solvent Orange 54
C.I.Direct Black 173
Cationic starch
Neutral Black 2BL
REACTIVE BLACK 5
Azoic Diazo Component 34
BASIC BLUE 41 (C.I. 11105)
ACID ORANGE 63
Disperse Orange 25
Disperse Red 153
Vat Orange 16
Sulphur Brown 5
Direct Grey D
Solvent Red 8
Disperse Rubine S-2GFL
Vat Yellow 12 (C.I.)
Vat Brown 14
Acid Black 241
Acid Blue BGL
"1,4-bis[(2-ethylhexyl)amino]anthraquinone"
"tetrasodium 2-[[4-[[4-[[1-hydroxy-6-(phenylamino)-3-sulphonato-2-naphthyl]azo]-7-sulphonato-1-naphthyl]azo]-1-naphthyl]azo]benzene-1,4-disulphonate"
"2,2'-(1,3,4-oxadiazole-2,5-diyl)bis[1-aminoanthraquinone]"
"5-[(3,4-dichlorophenyl)azo]-1,2-dihydro-6-hydroxy-1,4-dimethyl-2-oxonicotinonitrile"
disodium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate
27 VAT BLACK 27
Vat Red FBB
Direct Red Brown RN
Solvent Red BL
"3-Pyridinecarbonitrile, 1,2-dihydro-6-hydroxy-4-methyl-1-3-(1-methylethoxy)propyl-2-oxo-5-4-(phenylazo)phenylazo-"
Disperse Red 82
Disperse Orange 30
REACTIVE GREEN 19
"N-(2,5-Dimethoxyphenyl)-3-hydroxy-2-naphthamide"
THRENE BRILLIANT VIOLET 3B
MALACHITE GREEN OXALATE
DIRECT BLACK 22
Disperse Blue 79
C.I. Solvent Yellow 90
Pigment Permanent Orange R
Disperse Black GL
"disodium 2-[[1-(2-chloro-5-sulphonatophenyl)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-4-yl]azo]naphthalene-1-sulphonate"
Plastic Colouring Agent
Basic Orange Piece
Disperse Violet 2RB
Direct Fast Turquoise Blue
C.I.Acid Yellow 110
Leather Spray Yellow G
C.I.Solvent Orange 54
Direct Red   9
Disperse Violet  96
BASIC RED 46
vat black 16
Acid Violet 131
90 ACID VIOLET 90
28 BASIC YELLOW 28
"2-｛N- [γ-(2,4-ditertamylphenoxy )butylamido]formyl｝-1-naphthol"
Fast black B salt
Vat Orange RF
BASIC BLUE 4
DIRECT BLUE 202
SOLVENT ORANGE 23
Catonic Black XL
Disperse Black KSL
Sulfur Dark Brown GN
Vat Green GN
Disperse Orange 2R
Disperse Brown HRL
VAT BLACK 27
DIBENZANTHRONE
Disperse Blue 257
Disperse Blue  87
Disperse Yellow 3G
Reactive Yellow 4
Reactive Turquoise Blue Kn-G
Vat Green 3
Disperse Red 135
C.I. Acid Black 194
Direct Yellow 132
Acid Blue 158
Direct Blue 106
Reactive Red 24
Reactive Red 180
"sodium [3-[[3-[(3-amino-4-nitrophenyl)azo]-2,4-dihydroxyphenyl]azo]-4-hydroxybenzenesulphonato(3-)]cuprate(1-)"
"disodium 2-[[1-(2,5-dichloro-4-sulphonatophenyl)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-4-yl]azo]naphthalene-1-sulphonate"
[2-[[4-[(2-chloro-4-nitrophenyl)azo]phenyl]ethylamino]ethyl]trimethylammonium
calcium 4-[(4-chloro-3-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate
4 BASIC GREEN 4
Solvent Red 164
Direct Red 227
Direct Red 243
1-(1-naphthylazo)-2-naphthol
N-(4-Chloro-2-methylphenyl)-2-[(4-chloro-2-nitrophenyl)azo]-3-oxobutanamide
1 VAT VIOLET 1
BASIC RED 18:1
Sulfur Blue FBL
C.I. Disperse Blue E press cake
BismarkbrownG
REACTIVE YELLOW 86
Rhamsan gum
NEUTRAL RED S-G
Vat Orange 2
Cellulase
Mitsui
BASIC BLUE 3
"2,4-Dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-one chromium complex"
Disperse Red 73
DISPERSE BLUE 106
ACID VIOLET 5
MORDANT BROWN 4
Solvent Yellow 98
Solvent Yellow 114
ACID BLACK 2
Disperse Red 177
Vat Brown 68
Disperse Blue 301
Vat Orange 1
Acid Black  58
Reactive Red Brown K-B3r
Vat Red 31
Sulphur Blue 11
Direct Blue  78
Vat Red 42
Vat Brown 25
Basic Yellow  21
Direct Green  26
Solvent Blue 63
4-hydroxy-1-methyl-3-[(3-nitrophenyl)azo]-2-quinolone
"disodium 2,5-dichloro-4-[4-[[5-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-2-sulphonatophenyl]azo]-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl]benzenesulphonate"
"Manganese, 4-[(4-chloro-3-sulfophenyl)azo]-3-hydroxy-2-naphthalenecarboxylic acid complex"
"hydrogen [4-[[4-(diethylamino)phenyl][4-[ethyl[(3-sulphonatobenzyl)amino]-o-tolyl]methylene]-3-methylcyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt"
167 RED 167
2 VAT YELLOW2
Disperse Yellow 235
