Chemical Name
arsenic monoxide 
arsenic dioxide 
arsenic monophosphide 
arsenic triphosphide 
thallium arsenide 
arsenic diiodide 
arsenic trioxide 
arsenic diphosphide 
arsenic pentoxide 
arsenic tetrasulfide 
arsenic pentasulfide 
arsenic hemiselenide 
arsenic triselenide 
arsenic pentaselenide 
arsenic tetraoxide 
arsenic(III) phosphide 
tetraarsenic trioxide 
tetraarsenic pentaoxide 
dimorphite 
realgar 
Borylgold 
gold monoboride monoxide 
gold bromide 
gold tribromide 
gold cyanide 
gold chloride 
gold trichloride 
gold trifluoride 
gold iodide 
gold(III) iodide 
gold hydroxide 
gold telluride 
gold trioxide 
gold sulfide 
gold trisulfide 
gold triselenate 
gold triselenide 
boron arsenide 
boron tribromide 
boron trichloride 
boron trifluoride 
borane 
borohydride ion 
ammonia borane 
boron triiodide 
boron nitride 
boron nitrate 
tetranitratoborate ion 
boric acid 
orthoborate ion 
boron phosphide 
boron phosphate 
diboron tetrachloride 
diboron tetrafluoride 
diborane 
magnesium diboride 
diboron triselenide 
diboron trioxide 
diboron trisulfide 
borazine 
boron carbide 
colemanite 
borax 
barium aluminate 
barium arsenite 
barium arsenate 
barium hexaboride 
barium bromide 
barium hypobromite 
barium bromite 
barium bromate 
barium bromate monohydrate 
barium bromate dihydrate 
barium perbromate 
barium perbromate trihydrate 
barium perbromate tetrahydrate 
barium formate 
barium acetate 
barium cyanide 
barium hafnate 
barium tetraiodomercurate(II) 
barium hydrosulfide 
barium iodide 
barium hypoiodite 
barium iodite 
barium iodate 
barium periodate 
barium potassium chromate 
barium manganate 
barium permanganate 
barium molybdate 
barium azide 
barium nitrite 
barium nitrate 
barium niobate 
barium metaniobate 
barium oxide 
barium hydroxide 
barium peroxide 
barium metaphosphate 
barium sulfide 
barium thiocyanate 
barium thiosulfate 
barium hexafluorosilicate 
barium sulfite 
barium sulfate
barium selenide 
barium selenocyanate 
barium selenite 
barium selenate 
barium metasilicate 
barium silicide 
barium disilicate 
barium stannate 
barium tellurite 
barium tellurate trihydrate 
barium titanate
barium metatitanate
barium uranium oxide 
barium tungstate 
barium zirconate 
barium sodium niobate 
barium pyrophosphate 
barium pyrovanadate 
barium perxenate 
barium chromate(V) 
barium nitride 
barium orthophosphate 
barium orthovandate 
beryllium boride 
beryllium borohydride 
beryllium bromide 
beryllium formate 
beryllium carbonate 
beryllium acetate 
beryllium acetylacetonate 
beryllium chloride 
beryllium hypochlorite 
 beryllium chlorate
beryllium perchlorate 
beryllium fluoride 
beryllium iodide 
beryllium nitrite 
beryllium nitrate 
beryllium oxide
beryllium hydroxide 
beryllium sulfide 
 beryllium sulfite
beryllium sulfate 
beryllium carbide 
beryl 
beryllium nitride 
bismuth(III) orthoborate 
bismuth(III) bromide 
bismuth(III) acetate 
bismuth(III) citrate 
bismuth(III) chloride 
bismuth(III) fluoride 
bismuth(III) iodide 
bismuth(III) nitrate pentahydrate 
bismuth(III) oxychloride 
bismuth(III) oxyiodide 
bismuth oxycarbonate 
bismuth(III) orthophosphate 
bismuth(III) metavanadate 
bismuth(III) selenide
bismuth selenide
bismuth(III) molybdate 
bismuth(III) oxide 
bismuth(III) sulfide
bismuthinite
bismuth(III) selenide 
bromine chloride 
bromine trichloride 
bromine pentachloride 
bromine monofluoride
bromine fluoride
bromine trifluoride 
bromine pentafluoride 
iodine monobromide 
bromate ion 
bromine 
dibromine pentoxide 
tribromide ion 
pentabromide ion 
carbonylsilver 
dichlorodifluoromethane
carbon tetrachloride
tetrachloromethane
tetracyanomethane 
trichlorofluoromethane
chlorotrifluoromethane
chloroform
trichloromethane
methyl trichloride
chlorodifluoromethane 
cyanoform 
isocyanic acid 
trinitromethane 
formate ion
methylene 
carbene silver 
"1,3-butadiene "
ketene 
ethenol 
chloroacetic acid 
dichloromethane 
chlorofluoromethane 
malononitrile 
formaldehyde 
methanediol 
ethylene glycol 
propyne 
dimethylcadmium 
2-butene 
propene 
acetaldehyde 
bromoethane 
butan-1-ol 
1-propanol
propan-1-ol
propanamide 
propionic acid 
diethyl ether
ethoxyethane
ethanol 
stearic acid 
acetonitrile 
acetone 
methyl acetate 
acetyl chloride 
acetamide
ethanamide
acetate ion
vinyl acetate 
benzyl acetate 
isoamyl acetate 
acetic acid
ethanoic acid
sodium acetate 
potassium acetate 
rubidium acetate 
caesium acetate 
acetic anhydride 
chloromethane
methyl chloride
dimethylmercury 
iodomethane
methyl iodide
dimethyl ether 
methylamine 
oxaziridine 
caesium methoxide 
methanol 
potassium methoxide 
lithium methoxide 
sodium methoxide 
rubidium methoxide 
dimethyl sulfide
DMS
methanethiol 
isopropyl alcohol
2-propanol
propan-2-ol
isopropanol
acetone 
dimethyl oxalate 
dimethyl hydrazine 
dimethylamine 
dimethylsulfoniopropionate
DMSP
t-butyl chloride t -butyl chloride
t-butyl alcohol t -butyl alcohol
di-t-butyl peroxide
DTBP
trimethylamine 
methane
natural gas
hydroxycarbamide 
Guanidine 
cyanide ion 
cyanogen 
guanidine nitrate 
cyanate ion 
carbon monoxide 
phosgene 
carbon dioxide 
carbon trioxide 
carbonate ion 
carbon disulfide 
tetrafluoroethylene 
acetylene 
glyoxal 
vinyl chloride 
glycolonitrile 
acetate ion 
ethylene 
ethylene dichloride 
"3-amino-1,2,4-triazole "
ethylene oxide 
acetic acid 
bromoethane 
ethylamine 
glycine
Gly
ethoxide ion 
ethanol
ethyl alcohol
diethylamine 
caesium ethoxide 
potassium ethoxide 
sodium ethoxide 
rubidium ethoxide 
ethane 
dimethyl sulfoxide
DMSO
ethanolamine 
ammonium acetate 
taurine 
oxalate ion 
Methyl perchlorate 
"1,1,3-Trichloropropene "
malonate ion 
cyanopolyyne 
azete 
Propadiene 
imidazole 
aminothiazole 
pyruvic acid 
malonic acid 
acrylamide 
3-amino-1H-pyrazole 
nitroglycerine 
cyclopropane 
ethyl formate 
2-Mercaptopropionic acid 
3-Mercaptopropionic acid 
azetidine 
n-Propyl azide n -Propyl azide
α-alanine 
cysteine
Cys
serine
Ser
Phosphetane 
propane 
glyphosate 
propanol
propylene glycol 
"1,3-propanediol "
glycerol 
"1,3,5-triazinane "
cyanuric acid 
cyanuric triazide 
"2,6-dichloro-5-fluoroacil "
diacetylene 
diiodobutadiyne 
5-bromo-2-chloropyrimidine 
"2,4-dichloropyrimidine "
"2-amino-4,6-dichloropyrimidine "
fluorouracil 
vinylacetylene 
flucytosine 
uracil 
diaminomaleonitrile 
3-aminopyrazole-4-carbonitrile 
"1,3,5,7-tetrazocine "
furan 
Methyl 2-fluoroacrylate 
cytosine 
fomepizole 
1-methylimidazole 
4-methylimidazole 
methimazole 
"2,4-diamino-6-hydroxypyrimidine "
"1,4-Butynediol "
gamma-Butyrolactone 
crotonic acid 
diacetyl 
diepoxybutane 
"1,4-Dioxene "
isocrotonic acid 
methacrylic acid 
methyl acrylate 
succinaldehyde 
vinyl acetate 
propylene carbonate 
succinic acid 
2-bromobutyric acid 
potassium oxybate 
sodium oxybate 
Poly(N-vinylacetamide) Poly( N -vinylacetamide)
1-Aminocyclopropanecarboxylic acid 
aceturic acid 
aspartic acid
Asp
cyclobutane 
asparagine
Asn
tetrahydrofuran
THF
ethyl acetate 
gamma-Hydroxybutyric acid 
n-Butylmercuric chloride n -Butylmercuric chloride
n-butyllithium 
γ-aminobutyric acid 
threonine
Thr
n-Butylsodium n -Butylsodium
butyl alcohol 
butane 
diethyl ether 
"1,2-Butanediol "
"1,3-Butanediol "
"1,4-Butanediol "
"2,3-Butanediol "
tert-Butyl hydroperoxide 
Dimethoxyethane 
2-Ethoxyethanol 
1-Methoxy-2-propanol 
diethylene glycol 
diethanolamine 
2-bromo-5-nitropyridine 
"3,5-dibromopyridine "
2-chloro-5-nitropyridine 
6-chloropurine 
niacin 
pyrazinoic acid 
orotic acid 
allopurinol 
xanthine 
mercaptopurine 
cyclopentadienone 
furfural 
b-thiophenic acid 
cyclopentadienyl anion 
2-amino-5-bromopyridine 
2-amino-4-chloropyridine 
2-amino-5-iodopyridine 
pyridine 
2-pyridone 
pyrazinamide 
2-amino-nitropyridine 
adenine 
guanine 
3-pyridinylboronic acid 
"1,2-diazepine "
methylthiouracil 
thymine 
cyclopentenone 
α-Ketoglutaric acid 
"3,4-diaminopyridine "
gamma-Valerolactone 
3-Dimethylaminoacrolein 
allylglycine 
proline
Pro
glutamic acid
Glu
cyclopentane 
glutamine
Gln
pivalic acid 
valeric acid 
3-Methylbutanoic acid 
deoxyribose 
valine
Val
methionine
Met
pentane 
neopentyl glycol 
pentaerythritol 
xylitol 
"N,N-diethylmethylamine N , N -diethylmethylamine"
pentafluorobenzoic acid 
"2,6-Dichloroquinone-4-chloroimide Gibbs reagent"
"2,4,6-Tribromophenol "
"2,4,6-Trichlorophenol "
5-bromonicotinic acid 
2-chloronicotinic acid 
4-Chlorophenyl azide 
6-chloro-2-pyridinecarboxylic acid 
tricyanoaminopropene 
 orthobenzoquinone
bromobenzene 
benzaldehyde 
benzyl alcohol 
chlorobenzene 
benzoyl chloride 
benzoate ion 
benzoic acid 
fluorobenzene 
iodobenzene 
picolinic acid 
4-nitrophenol 
phenol 
citrate ion 
Citrazinic acid 
tetraphenylgermane 
diphenyl ether 
triphenylamine 
triphenylphosphine 
benzene 
4-chlorophenylboronic acid 
4-fluorophenylboronic acid 
2-Chloromethylpyridine 
4-iodoaniline 
nicotinamide 
6-aminonicotinic acid 
"2,2',2-Nitrilotriacetonitrile 2,2',2 -Nitrilotriacetonitrile"
phenol 
catechol 
hydroxymethylfurfural 
phenylboronic acid 
caesium ascorbate 
potassium ascorbate 
lithium ascorbate 
isoniazid 
sodium ascorbate 
rubidium ascorbate 
2-amino-3-methylpyridine 
ethyl 2-aminothiazole-4-carboxylate 
citric acid 
histidine
His
metronidazole 
(2R)-2-Methylpent-4-enoic acid (2 R )-2-Methylpent-4-enoic acid
4-acetylbutyric acid 
aceburic acid 
adipic acid 
conduritol 
dianhydrohexitol 
ethylidene diacetate 
glucal 
cycloleucine 
cyclohexane 
Streptolidine 
4-Mercapto-4-methyl-2-pentanone 
4-Hydroxy-4-methylpentanoic acid 
fructose 
N-ethylmorpholine N -ethylmorpholine
aminocaproic acid 
hexane 
lysine
Lys
arginine
Arg
"1,6-hexanediol "
dipropylene glycol 
trimethylolpropane 
triethylene glycol 
triethanolamine 
2-Oxohistidine 
tetracyanoethylene 
2-Chloro-6-fluorobenzaldehyde 
3-Bromobenzaldehyde 
"2,4,6-tribromoanisole "
Chlorthiamide 
"2,4,6-trichloroanisole "
"2,4,6-trifluoroanisole "
2-fluorobenzoic acid 
3-Fluorobenzoic acid 
4-fluorobenzoic acid 
quinolinic acid 
2-mercaptobenzothiazole 
7-nitroindazole 
2-Chloro-6-fluorotoluene 
7-azaindole 
Benzimidazole 
tropone 
benzoic acid 
salicylic acid 
protocatechuic acid 
gallic acid 
4-carboxyphenylboronic acid 
4-aminobenzoic acid 
mesalazine 
benomyl metabolite 
toluene 
hydrochlorothiazide 
theophylline 
theobromine 
4-methylphenylboronic acid 
4-boronoanisole 
4-dimethylaminopyridine 
N-Acetylglutamic acid 
diethyl malonate 
aceglutamide 
n-Butyl lactate n -Butyl lactate
bornesitol 
heptane 
Togni reagent II 
riluzole 
isatin 
5-bromoindole 
4-chloroindole 
"2,4-dichlorophenoxyacetic acid "
4-quinazolinol 
indazolium-3-carboxylate 
2-Chlorostyrene 
indole 
indol-4-ol 
cubane 
2-amino-6-methoxybenzothiazole 
4-hydroxyphenylacetic acid 
vanillic acid 
acetaminophen 
aminomethylbenzoic acid 
hydroxydanaidal 
methyl anthranilate 
"4-Iodo-N,N-dimethylaniline 4-Iodo- N , N -dimethylaniline"
caffeine 
tyramine 
aciclovir 
"(1R,3R)-1,2,3-Trimethylcyclopentane (1 R ,3 R )-1,2,3-Trimethylcyclopentane"
cyclohexanedimethanol 
pinpollitol 
viscumitol 
Eleutheroside C
ethyl galactoside
octane 
4-bromoisoquinoline 
5-cyanoindole 
umbelliferone 
thiochromone 
8-hydroxyquinoline 
indole-2-carboxylic acid 
5-aminoisoquinoline 
cinnamic acid 
o-coumaric acid o -coumaric acid
aspirin
acetylsalicylic acid
methylketol 
4-methoxyindole 
hippuric acid 
Stizolobic acid 
chavicol 
paeonol 
phenylanine
LPA
cinnamyl alcohol 
tyrosine
Tyr
L-DOPA 
4-Ipomeanol 
S2242 
Boonein 
gabapentin 
1-boc-piperazine 
nonane 
Mono-BOC-cystamine 
"N,N'-Di-n-butylthiourea N , N '-Di- n -butylthiourea"
Pentabromopseudilin 
quinaldic acid 
6-Hydroxykynurenic acid 
tiabendazole 
azulene 
naphthalene 
hymecromone 
indole-3-acetic acid 
kinetin 
5-methoxyindole-3-carboxaldehyde 
edaravone 
Suosan 
safrole 
ferulic acid 
sulfamethoxazole 
tryptamine 
anethole 
estragole 
hinokitiol 
eugenol 
isoeugenol 
pseudoisoeugenol 
coniferyl alcohol 
adenosine 
N-tert-Butylbenzenesulfinimidoyl chloride N - tert -Butylbenzenesulfinimidoyl chloride
Titanium bis(acetylacetonate)dichloride 
mentha spicata herb oil 
1-Bromoadamantane 
ephedrine 
limonene 
camphor 
boc-4-piperidone 
Fructose-asparagine 
Biotin hydrazide 
1-boc-4-piperidinol 
boc-4-aminopiperidine 
Paramenthane hydroperoxide 
decane 
menadione 
β-Naphthol methyl ether 
3-indolepropionic acid 
tryptophan
Trp
myristicin 
Caramboxin Diroximel fumarate Caramboxin or Diroximel fumarate
5-methoxytryptamine 
methyl eugenol 
methyl isoeugenol 
Jasmolone 
boc-isonipecotic acid 
L-ArginineL-pyroglutamate L -Arginine L -pyroglutamate
undecane 
Macromomycin B 
"2,2',3,3',4,4'-Hexachlorobiphenyl "
tetracyanoquinodimethane 
methoxsalen 
biphenyl 
furosemide 
Furonazide 
6-benzylaminopurine 
triamterene 
indole-3-butyric acid 
calcium alginate 
apiole 
dillapiole 
1-benzyl-4-piperidone 
"N,N-Dimethyltryptamine "
asarone 
elemicin 
isoelemicin 
oudenone 
"2,4,5-Trimethoxypropiophenone "
arbutin 
thiamine nitrate 
E1210 
propofol 
"Allixin 1,6-Hexanediol diacrylate Allixin or 1,6-Hexanediol diacrylate"
D-Fructose-L-histidine D -Fructose- L -histidine
Aspartylglucosamine 
"1,1'-Dihydroxydicyclohexyl peroxide "
maltose 
Stenusin 
dodecane 
Tetracyclopropylmethane 
benzophenone 
fluconazole 
β-ionone 
monobenzone 
harmaline 
melatonin 
ibuprofen 
tridecane 
anthracene 
phenanthrene 
benzoyl peroxide 
RI-1 
Isooncodine 
resveratrol 
Flufenacet 
enilconazole 
SCH 900271 
TDBzcholine 
aspartame 
trimethoprim 
Bis(2-methoxyethyl) phthalate 
Integrasone 
tetradecane 
daidzein 
apigenin 
luteolin 
quercetin 
carbamazepine 
phenytoin 
Darienine 
Curzerenone 
Arglabin 
nectaryl 
pentadecane 
Virstatin 
ketoprofen 
Norscopolamine 
Peyonine 
LY3372689 
zinc acexamate 
Biotin PEG2 amine 
hexadecane 
alprazolam 
celecoxib 
Olivacine 
5-Methyl-7-methoxyisoflavone 
Calmagite 
Noroliveroline 
"6-methoxy-(8-p-toluenesulfonamido)quinoline TSQ, 6-methoxy-(8- p -toluenesulfonamido)quinoline"
nifedipine 
omeprazole 
cocaine 
cicutoxin 
oenanthotoxin 
falcarinol 
Eleutheroside B
Syringin
Glyceryl octyl ascorbic acid 
heptadecane 
boscalid 
INH1 
Oliveroline 
Clovamide 
estrone 
Tazopsine 
estradiol 
estriol 
estetrol 
capsaicin 
linoleic acid 
stearic acid 
octadecane 
Bromopyrogallol red 
"6-Formylindolo(3,2-b)carbazole "
C286 
Landomycinone 
Coumachlor 
indometacin 
Eburnamenine 
Normacusine B 
Eburnamine 
androstenedione 
dehydroepiandrosterone 
testosterone 
androstenediol 
dihydrotestosterone 
nonadecane 
Sibiricine 
"N,N-Dibenzylaniline N , N -Dibenzylaniline"
Tetrakis(pyridine)silver(II) peroxydisulfate 
Kopsanone 
Pleiocarpamine 
Saudin 
BX-912 
Thebacon 
quinine 
Diphepanol 
Crotogoudin 
amygdalin 
tretinoin 
Neotripterifordin 
prostacyclin 
prostaglandin E2 
dinoprost 
eicosane 
AMG 319 
Avutometinib 
Setanaxib 
curcumin 
Picralinal 
Taxamairin A 
Z-FA-FMK 
Rovafovir etalafenamide 
Yuanhunine 
Canniprene 
D75-4590 
progesterone 
tetrahydrocannabinol 
Coenzyme A 
N-Oleoylsarcosine N -Oleoylsarcosine
"N-Oleyl-1,3-propanediamine N -Oleyl-1,3-propanediamine"
loratadine 
L-165041 
fentanyl 
Neurolenin B 
Chrome Azurol S 
cyhalothrin 
Kadethrin 
Iferanserin 
Pleiocarpine 
Laucysteinamide A 
Terminaline 
Tarocin A 
Ralimetinib 
Chromium(III) 2-ethylhexanoate 
Kadsurin 
Pseudopterosin A 
Mirubactin 
Tarocin B 
Pseudopterosin E 
JD5037 
Andrimid 
Axona 
Basic Black 2 
Nargenicin 
Kukoamine A 
Pingbeinine 
Argadin 
Dihydromaltophilin 
Dynemicin A 
Decinnamoyltaxinine J 
Retigeric acid B 
Rubicordifolin 
Triptofordin C-2 
Eleutheroside D 
Taxinine M 
Eleutheroside A 
Cepharanoline 
Taxagifine 
Cytotrienin A 
Caldoramide 
Chamuvarinin 
lacto-n-difucohexaose II 
Kidamycin 
Bouvardin 
Cosmomycin B 
lycopene 
Aplasmomycin 
Neopluramycin 
Hedamycin 
Milataxel 
adrenorphin 
Thiocoraline 
"Bis(dinitrogen)bis(1,2-bis(diphenylphosphino)ethane)molybdenum(0) "
calicheamicin 
Mannopeptimycin glycopeptide 
esperamicin 
Niphimycin 
Buckminsterfullerene 
Nocathiacin I 
hydroxocobalamin 
Vitamin B12 
cyanocobalamin 
methylcobalamin 
adenosylcobalamin 
Tannic acid 
Surotomycin 
alpha-Endorphin 
Paenibacterin 
gamma-Endorphin 
amidorphin 
beta-Endorphin 
leumorphin 
maitotoxin 
JV-1-36 
titin 
calcium aluminate 
calcium boride 
calcium bromide 
calcium hypobromite 
calcium bromite 
calcium bromate 
calcium perbromate 
calcium cyanide 
calcium carbonate
spent lime
calcium carbide 
calcium formate 
calcium acetate 
calcium oxalate 
calcium cyanamide 
calcium chloride 
calcium hypochlorite 
calcium chlorite 
calcium chlorate 
calcium perchlorate 
calcium fluoride
fluorite
calcium hydride 
dicalcium phosphate 
calcium hypophosphite 
calcium hydrosulfide 
calcium iodide 
calcium hypoiodite 
calcium iodite 
calcium iodate 
calcium periodate 
calcium molybdate 
calcium nitrite 
calcium nitrate 
Calcium nitrate tetrahydrate 
calcium metaniobate 
quicklime
calcium oxide
burnt lime
calcium hydroxide
slaked lime
calcium peroxide 
calcium monophosphide 
calcium sulfide
hepar calcies
sulfurated lime
oldhamite
calcium sulfite 
calcium sulfate 
plaster of paris
calcium sulfate hemihydrate
calcium selenide 
calcium selenite 
calcium selenate 
wollastonite
calcium telluride 
calcium tellurite 
calcium tellurate 
calcium titanate 
calcium metavanadate 
calcium orthovanadate 
calcium tungstate 
calcium arsenate 
calcium nitride 
calcium phosphide 
tricalcium phosphate 
tetracalcium phosphate 
calcium fluorophosphate 
hydroxyapatite 
cadmium bromide 
cadmium cyanide 
cadmium carbonate 
cadmium acetate 
cadmium oxalate 
cadmium chloride 
cadmium chromate 
cadmium fluoride 
cadmium iodide 
cadmium iodate 
cadmium molybdate 
cadmium nitrate 
cadmium azide 
cadmium oxide 
cadmium hydroxide 
cadmium sulfide
greenockite
cadmium sulfite 
cadmium sulfate 
cadmium antimonide 
cadmium selenide
cadmoselite
cadmium selenite 
cadmium metasilicate 
cadmium metatantalate 
cadmium telluride 
cadmium tellurate 
cadmium titanate 
cadmium tungstate 
cadmium metazirconate 
cadmium niobate 
cadmium arsenide 
cadmium phosphide 
cadmium phosphate 
cerium boride 
cerium(III) bromide 
cerium carbide 
cerium(III) chloride 
cerium(III) fluoride 
cerium(IV) fluoride 
cerium(II) iodide 
cerium(III) iodide 
cerium nitride 
cerium(IV) oxide
cerianite
cerium(II) sulfide 
cerium(IV) sulfate 
cerium silicide 
cerium(III) carbide 
cerium(III) oxide 
cerium(III) sulfide 
chlorotrifluoromethane 
tetrafluoromethane 
chlorine fluoride 
chlorine trifluoride 
chlorine pentafluoride 
chlorine perchlorate 
chlorine dioxide 
chlorine trioxide fluoride 
chlorine 
chlorine trioxide 
chlorine hexoxide 
chlorine heptoxide 
Chlorine octaoxide 
cobalt(II) aluminate 
cobalt arsenide 
cobalt(II) arsenide 
cobalt(II) boride 
cobalt(II) bromide 
cobalt(II) cyanide 
cobalt(II) acetate 
cobalt(III) acetate 
cobalt(II) oxalate 
cobalt(II) perchlorate 
cobalt(II) chloride 
cobalt(II) chromate 
cobalt(II) chromite 
cobalt(II) fluoride 
cobalt(III) fluoride 
cobalt(II) iodate 
cobalt(II) iodide 
cobalt(II) molybdate 
cobalt(II) nitrate 
cobalt(III) nitrate 
cobalt(II) oxide 
cobalt(II) hydroxide 
cobalt(III) hydroxide 
cobalt(II) sulfide 
cobalt disulfide 
cobalt antimonide 
cobalt(II) selenide 
cobalt(II) selenite 
cobalt(II) telluride 
cobalt(II) titanate 
cobalt(II) tungstate 
cobalt boride 
Cobalt oleate 
cobalt(II) sulfate 
cobalt(III) sulfide 
cobalt(II) orthosilicate 
cobalt(II) stannate 
cobalt(II) titanite 
cobalt arsenate 
cobalt(II) ferricyanide 
chromium(II) bromide 
chromium(III) bromide 
chromium(II) chloride 
chromium(III) chloride 
chromium(IV) chloride 
chromium(II) fluoride 
chromium(III) fluoride 
chromium(IV) fluoride 
chromium(V) fluoride 
chromium(VI) fluoride 
chromium(II) iodide 
chromium(III) iodide 
chromium(III) nitrate 
chromium(III) nitrite 
chromium(III) hydroxide 
chromium(IV) oxide 
chromium(VI) oxide 
chromate ion 
chromium(VI) oxychloride 
chromium(III) phosphate 
chromium antimonide 
chromium(II) selenide 
chromium(II) silicide 
chromium(III) orthovanadate 
chromium(III) oxide
eskolaite
chromium(III) sulfate 
chromium(III) sulfide 
chromium(III) selenide 
chromium(III) tellurate 
chromium(III) telluride 
chromium(II) arsenide 
chromium(II) carbide 
chromium(II) antimonide 
caesium borate 
caesium bromide 
caesium hypobromite 
caesium bromite 
caesium bromate 
caesium perbromate 
caesium tribromide 
caesium cyanide 
caesium cyanate 
caesium fulminate 
caesium acetate 
caesium chloride 
caesium hypochlorite 
caesium chlorite 
caesium chlorate 
caesium perchlorate 
caesium fluoride 
caesium hydride 
caesium hydrosulfide 
caesium iodide 
caesium hypoiodite 
caesium iodite 
caesium iodate 
caesium periodate 
caesium triiodide 
caesium amide 
caesium nitrite 
caesium nitrate 
caesium azide 
caesium niobate 
caesium metaniobate 
caesium hydroxide 
caesium superoxide 
caesium peroxide 
caesium sulfide 
caesium thiocyanate 
caesium selenate 
caesium metatantalate 
caesium carbonate 
caesium bicarbonate 
monocaesium phosphite 
monocaesium phosphate 
caesium bisulfite 
caesium hydrogen sulfate 
caesium oxalate 
caesium chromate 
caesium dichromate 
caesium hydrogen orthophosphate 
caesium molybdate 
caesium oxide 
caesium sulfite 
caesium sulfate 
caesium metasilicate 
caesium tellurate 
caesium titanate
caesium metatitanate
caesium orthotungstate 
dicaesium phosphite 
dicaesium phosphate 
tricaesium phosphite 
caesium orthophosphate 
caesium orthovanadate 
copper(I) bromide 
copper(II) bromate hexahydrate 
copper(II) bromide 
copper oxalate 
copper(I) acetate 
copper(II) acetate 
copper(I) chloride 
copper(II) chlorate hexahydrate 
copper(II) chloride 
copper(I) fluoride 
copper(II) fluoride 
chalcopyrite
copper(II) iron(II) oxide 
copper iron sulfide
blue vitriol 
copper(I) iodide 
copper(I) iodate 
copper(II) iodate 
copper(II) orthomolybdate 
copper(II) nitrate 
copper(II) nitrate trihydrate 
copper(II) nitrate hexahydrate 
copper(II) orthoniobate 
copper(II) oxide 
copper(I) oxide 
copper(II) hydroxide 
basic copper carbonate 
copper(II) sulfide
copper(I) thiocyanate 
copper(II) sulfate 
copper(II) sulfate pentahydrate 
copper(II) selenide 
copper(II) selenite dihydrate 
copper(II) selenate pentahydrate 
copper(II) metasilicate 
copper(II) telluride 
copper(II) tellurite 
copper(II) metatitanate 
copper(II) metavanadate 
copper(II) orthotungstate 
malachite 
copper(I) sulfide
copper(I) selenide 
copper(I) telluride 
copper(I) arsenide 
copper(I) phosphide 
copper(II) phosphate 
copper(III) antimonide 
copper sulfide
digenite
deuterium bromide 
deuterium iodide 
lithium deuteride 
sodium deuteride 
heavy water 
trideuterioxonium ion 
dysprosium(III) bromide 
dysprosium(II) chloride 
dysprosium(III) chloride 
dysprosium(II) silicide 
dysprosium(III) oxide 
dysprosium(III) sulfide 
erbium(III) chloride 
erbium monofluoride 
erbium difluoride 
erbium trifluoride 
erbium triiodide 
erbium sodium tetraiodide 
erbium monoxide 
europium(II) chloride 
europium(III) chloride 
europium monofluoride 
europium trifluoride 
europium diiodide 
europium niobium dioxide 
europium diniobium hexaoxide 
europium monoxide 
monoeuropium monovandium dioxide 
europium titanium trioxide 
europium metavanadate 
